bits,fpr(N=5),fpr(N=10),fpr(N=15),fpr(N=20),fpr(N=25),fpr(N=30),fpr(N=40),fpr(N=50),fpr(N=60),fpr(N=70),fpr(N=80),fpr(N=100),fpr(N=125),fpr(N=150),fpr(N=175),fpr(N=200)
3,0.24993,0.218778,0.312597,0.203116,0.250049,0.28121,0.242113,0.289083,0.320225,0.222687,0.238228,0.265427,0.320261,0.223108,0.242582,0.267847
4,0.0780295,0.062382,0.093541,0.0700395,0.089715,0.105319,0.074218,0.091908,0.107507,0.060539,0.06734,0.0838795,0.104493,0.066804,0.0756815,0.0874875
8,0.004879,0.004923,0.007363,0.004938,0.006206,0.0074205,0.0048995,0.006074,0.007261,0.004226,0.0048095,0.0060075,0.00744,0.004543,0.0052605,0.0060185
12,0.0002965,0.000304,0.0004605,0.000312,0.000397,0.000467,0.000315,0.0003925,0.0004705,0.000281,0.00032,0.000394,0.000482,0.0002945,0.0003415,0.0003885
16,2.1e-05,2.4e-05,3.6e-05,2.15e-05,2.8e-05,3.3e-05,2.15e-05,2.75e-05,3.15e-05,1.9e-05,2e-05,2.65e-05,3e-05,2e-05,2.3e-05,2.5e-05
24,0,0,0,0,0,0,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,5e-07,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
